#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
105,Mahasamund,9,GEN,Chhattisgarh,Chunni Lal Sahu,Bharatiya Janta Party,1613418,1222335,77.1,90511.00,7.4
106,Jaipur Rural,6,GEN,Rajasthan,Col. Rajyavardhan Rathore,Bharatiya Janta Party,1897332,1276693,67.8,393171.00,30.8
107,South Goa,2,GEN,Goa,Cosme Francisco Caitano Sardinha,Indian National Congress,572200,424575,75.2,9755.00,2.3
108,Bangalore Rura,23,GEN,Karnataka,D.K. Suresh,Indian National Congress,1601076,1621906,102.1,206870.00,12.8
109,Bangalore Nort,24,GEN,Karnataka,D.V. Sadananda Gowda,Bharatiya Janta Party,2819424,1559459,55.7,147518.00,9.5
110,Patan,3,GEN,Gujarat,Dabhi Bharatsinhji Shankarji,Bharatiya Janta Party,1689822,1126256,67.5,193879.00,17.2
111,Jalna,18,GEN,Maharashtra,Danve Raosaheb Dadarao,Bharatiya Janta Party,1765712,1208139,69.3,332815.00,27.5
112,Surat,24,GEN,Gujarat,Darshana Vikram Jardosh,Bharatiya Janta Party,1606425,1068412,67.2,548230.00,51.3
113,Warangal,15,SC,Telangana,Dayakar Pasunoori,Telangana Rashtra Samithi,1578335,1061645,68.5,350298.00,33
114,Chennai Centra,4,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,1316388,785450,60.7,301520.00,38.4
115,Raiganj,5,GEN,West Bengal,Debasree Chaudhuri,Bharatiya Janta Party,1531944,1277109,84.3,60574.00,4.7
116,Bastar,10,ST,Chhattisgarh,Deepak Baij,Indian National Congress,1357443,912846,70.3,38982.00,4.3
117,Dadra And Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Independent,196617,198983,102.7,9001.00,4.5
118,Jalore,18,GEN,Rajasthan,Devaji Patel,Bharatiya Janta Party,1600603,1361619,86.2,261110.00,19.2
119,Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh 'bhole',Bharatiya Janta Party,1714490,1025314,60.3,275142.00,26.8
120,Hatkanangle,48,GEN,Maharashtra,Dhairyasheel Sambhajirao Mane,Shiv Sena,1693449,1252211,74.4,96039.00,7.7
121,Tenkasi,37,SC,Tamil Nadu,Dhanush.M.Kumar,Dravida Munetra Kazhagam,1472742,1065569,73.3,120286.00,11.3
122,Bhiwani-Mahend,8,GEN,Haryana,Dharambir Singh S/o Bhale Ram,Bharatiya Janta Party,1566494,1161115,74.3,444463.00,38.3
123,Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Kashyap,Bharatiya Janta Party,1750190,1052795,60.7,113743.00,10.8
124,Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1757645,1119440,64.2,275596.00,24.6
125,Supaul,8,GEN,Bihar [2000 Onwards],Dileshwar Kamait,Janata Dal (United),1680576,1110805,66.7,266853.00,24
126,Medinipur,34,GEN,West Bengal,Dilip Ghosh,Bharatiya Janta Party,1815330,1409815,78.5,88952.00,6.3
127,Mangaldoi,8,GEN,Assam,Dilip Saikia,Bharatiya Janta Party,1723812,1506107,88.4,138545.00,9.2
128,Madhepura,13,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),1874003,1147274,63.3,301527.00,26.3
129,Rajsamand,22,GEN,Rajasthan,Diya Kumari,Bharatiya Janta Party,1863749,1239845,67.2,551916.00,44.5
130,Dharmapuri,10,GEN,Tamil Nadu,Dnv Senthilkumar. S.,Dravida Munetra Kazhagam,1453257,1223205,85.1,70753.00,5.8
131,Balaghat,15,GEN,Madhya Pradesh [2000 Onwards],Dr Dhal Singh Bisen,Bharatiya Janta Party,1725505,1372018,79.8,242066.00,17.6
132,Inner Manipur,1,GEN,Manipur,Dr Rajkumar Ranjan Singh,Bharatiya Janta Party,855359,759301,89.1,17755.00,2.3
133,Etawah,41,SC,Uttar Pradesh [2000 Onwards],Dr Ram Shankar Katheria,Bharatiya Janta Party,1714935,1027815,60.3,64437.00,6.3
134,Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Dr Virendra Kumar,Bharatiya Janta Party,1717393,1096712,64.5,348059.00,31.7
135,Gopalganj,17,SC,Bihar [2000 Onwards],Dr. Alok Kumar Suman,Janata Dal (United),1832200,1024876,58.8,286434.00,27.9
136,Shirur,36,GEN,Maharashtra,Dr. Amol Ramsing Kolhe,Nationalist Congress Party,2045438,1293117,63.5,58483.00,4.5
137,Dindori,20,ST,Maharashtra,Dr. Bharati Pravin Pawar,Bharatiya Janta Party,1651955,1137631,69.4,198779.00,17.5
138,Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Dr. Chandra Sen Jadon,Bharatiya Janta Party,1698385,1075866,63.7,28781.00,2.7
139,Chelvella,10,GEN,Telangana,Dr. G. Ranjith Reddy,Telangana Rashtra Samithi,2302163,1300194,56.9,14317.00,1.1
140,Nandurbar,1,ST,Maharashtra,Dr. Heena Vijaykumar Gavit,Bharatiya Janta Party,1796321,1281738,72.6,95629.00,7.5
141,Jalpaiguri,3,SC,West Bengal,Dr. Jayanta Kumar Roy,Bharatiya Janta Party,1618231,1500922,94,184004.00,12.3
142,Udhampur,5,,Jammu & Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,1490244,1180123,79.7,357252.00,30.3
143,Barasat,17,GEN,West Bengal,Dr. Kakoli Ghoshdastidar,All India Trinamool Congress,1882204,1394766,75.1,109983.00,7.9
144,Chennai North,2,GEN,Tamil Nadu,Dr. Kalanidhi Veeraswamy,Dravida Munetra Kazhagam,1444753,955545,67.2,461518.00,48.3
145,Ahmedabad West,8,SC,Gujarat,Dr. Kirit P. Solanki,Bharatiya Janta Party,1580673,997024,64,321546.00,32.3
146,Chandauli,76,GEN,Uttar Pradesh [2000 Onwards],Dr. Mahendra Nath Pandey,Bharatiya Janta Party,1696059,1084961,64.6,13959.00,1.3
147,Gautam Buddh N,13,GEN,Uttar Pradesh [2000 Onwards],Dr. Mahesh Sharma,Bharatiya Janta Party,2107718,1392952,66.5,336922.00,24.2
148,Kishanganj,10,GEN,Bihar [2000 Onwards],Dr. Mohammad Jawed,Indian National Congress,1652940,1101603,67.8,34466.00,3.1
149,Surendranagar,9,GEN,Gujarat,Dr. Munjapara Mahendrabhai,Bharatiya Janta Party,1812702,1077726,59.9,277437.00,25.7
150,Moradabad,6,GEN,Uttar Pradesh [2000 Onwards],Dr. S.T. Hasan,Samajwadi Party,1886615,1282206,68.3,97878.00,7.6
151,Badaun,23,GEN,Uttar Pradesh [2000 Onwards],Dr. Sanghmitra Maurya,Bharatiya Janta Party,2199914,1081108,49.5,18454.00,1.7
152,Paschim Champaran,2,GEN,Bihar [2000 Onwards],Dr. Sanjay Jaiswal,Bharatiya Janta Party,1606271,1012936,65.9,293906.00,29
153,Baghpat,11,GEN,Uttar Pradesh [2000 Onwards],Dr. Satyapal Singh,Bharatiya Janta Party,1558020,1044894,67.4,23502.00,2.2
154,Sambhal,8,GEN,Uttar Pradesh [2000 Onwards],Dr. Shafiqur Rehman Barq,Samajwadi Party,1782261,1183469,66.8,174826.00,14.8
155,Thiruvananthap,20,GEN,Kerala,Dr. Shashi Tharoor,Indian National Congress,1330409,1010180,76.3,99989.00,9.9
156,Kalyan,24,GEN,Maharashtra,Dr. Shrikant Eknath Shinde,Shiv Sena,1861577,890313,48.5,344343.00,38.7
157,Bankura,36,GEN,West Bengal,Dr. Subhas Sarkar,Bharatiya Janta Party,1770248,1371855,78.3,174333.00,12.7
158,Ahmadnagar,37,GEN,Maharashtra,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janta Party,1793677,1203797,67.3,281474.00,23.4
159,Gulbarga,5,SC,Karnataka,Dr. Umesh G Jadhav,Bharatiya Janta Party,1920070,1189361,62.5,95452.00,8
160,Krishnagiri,9,GEN,Tamil Nadu,Dr.A.Chellakumar,Indian National Congress,1482269,1161369,79.7,156765.00,13.5
161,Anakapalli,5,,Andhra Pradesh [2014 Onwards],Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,1397335,1238491,91.1,89192.00,7.2
162,Bhavnagar,15,GEN,Gujarat,Dr.Bharatiben Dhirubhai Shiyal,Bharatiya Janta Party,1734124,1041279,61,329519.00,31.6
163,Valsad,26,ST,Gujarat,Dr.K.C.Patel,Bharatiya Janta Party,1628352,1260377,78.6,353797.00,28.1
164,Thiruvallur,1,SC,Tamil Nadu,Dr.K.Jayakumar,Indian National Congress,1882738,1408189,75.8,356955.00,25.3
165,Perambalur,25,GEN,Tamil Nadu,"Dr.Paarivendhar, T. R",Dravida Munetra Kazhagam,1376502,1102767,80.9,403518.00,36.6
166,Katihar,11,GEN,Bihar [2000 Onwards],Dulal Chandra Goswami,Janata Dal (United),1645713,1117734,69.2,57203.00,5.1
167,Betul,29,ST,Madhya Pradesh [2000 Onwards],Durga Das (D.D.) UIKEY,Bharatiya Janta Party,1702517,1357857,81.1,360241.00,26.5
168,New Delhi,4,GEN,Delhi [1977 Onwards],Durga Prasad Pande,Bharatiya Janta Party,1490147,920541,62.2,256504.00,27.9
169,Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1863755,1369868,74.4,453928.00,33.1
170,Ponnani,7,GEN,Kerala,E. T. Mohammed Basheer,Indian Union Muslim League,1265341,1017265,80.9,193273.00,19
171,Mandla,14,ST,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,1901547,1517255,81.5,97674.00,6.4
172,Srinagar,2,,Jammu & Kashmir,Farooq Abdullah,Jammu & Kashmir National Conference,1205233,186832,15.6,70050.00,37.5
173,Pilibhit,26,GEN,Uttar Pradesh [2000 Onwards],Feroze Varun Gandhi,Bharatiya Janta Party,1730628,1186589,69.1,255627.00,21.5
174,Secundrabad,8,GEN,Telangana,G . Kishan Reddy,Bharatiya Janta Party,1890049,915106,48.9,62114.00,6.8
175,Davanagere,13,GEN,Karnataka,G M Siddeshwar,Bharatiya Janta Party,1613781,1194586,74.2,169702.00,14.2
176,Tumkur,19,GEN,Karnataka,G. S. Basavaraj,Bharatiya Janta Party,1584884,1244858,79.2,13339.00,1.1
177,Bagalkot,3,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1688394,1204613,72,168187.00,14
178,Mumbai North West,27,GEN,Maharashtra,Gajanan Kirtikar,Shiv Sena,1908991,941497,50.3,260328.00,27.7
179,Jodhpur,16,GEN,Rajasthan,Gajendra Singh Shekhawat,Bharatiya Janta Party,1888942,1346243,71.9,274440.00,20.4
180,Khargone,27,ST,Madhya Pradesh [2000 Onwards],Gajendra Umrao Singh Patel,Bharatiya Janta Party,1783776,1427607,81.1,202510.00,14.2
181,Satna,9,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,1533662,1113656,72.8,231473.00,20.8
182,Erode,17,GEN,Tamil Nadu,Ganeshamurthi A,Dravida Munetra Kazhagam,1427534,1067863,75.8,210618.00,19.7
183,Kaliabor,11,GEN,Assam,Gaurav Gogoi,Indian National Congress,1663513,1424687,86.6,209994.00,14.7
184,Kallakurichi,14,GEN,Tamil Nadu,Gautham Sigamani Pon,Dravida Munetra Kazhagam,1490339,1204375,81.6,399919.00,33.2
185,Singhbhum,10,ST,Jharkhand,Geeta Kora,Indian National Congress,1230774,879329,73.4,72155.00,8.2
186,Banka,27,GEN,Bihar [2000 Onwards],Giridhari Yadav,Janata Dal (United),1687940,995806,59.4,200532.00,20.1
187,Begusarai,24,GEN,Bihar [2000 Onwards],Giriraj Singh,Bharatiya Janta Party,1942769,1225594,64.1,422217.00,34.4
188,Pune,34,GEN,Maharashtra,Girish Bhalchandra Bapat,Bharatiya Janta Party,1997594,1035236,52.4,324628.00,31.4
189,Nagina,5,SC,Uttar Pradesh [2000 Onwards],Girish Chandra,Bahujan Samaj Party,1538579,1009456,66,166832.00,16.5
190,Tirunelveli,38,GEN,Tamil Nadu,Gnanathiraviam S,Dravida Munetra Kazhagam,1526692,1039761,68.8,185457.00,17.8
191,Aruku,1,,Andhra Pradesh [2014 Onwards],Goddeti. Madhavi,Yuvajana Sramika Rythu Congress Party,1358657,1074538,82.6,224089.00,20.9
192,Nashik,21,GEN,Maharashtra,Godse Hemant Tukaram,Shiv Sena,1764151,1121232,64,292204.00,26.1
